Centrality 0-100%
pT    Inv. Yield   Stat. Err.   Sys. Err   
1.85  0.0033256    5.03897e-05  0.000299304
1.95  0.00250039   3.96306e-05  0.000225035
2.1   0.00171247   2.11012e-05  0.000154122
2.3   0.000982544  1.38093e-05  8.8429e-05 
2.5   0.000586403  9.70961e-06  5.27763e-05
2.7   0.000349553  6.8038e-06   3.14598e-05
2.9   0.000214693  5.02656e-06  1.93224e-05
3.25  0.000101507  2.02972e-06  1.11658e-05
3.75  3.32702e-05  1.04055e-06  3.65972e-06
4.25  1.22955e-05  6.26866e-07  1.3525e-06 
4.75  5.70808e-06  4.44539e-07  6.27889e-07

Centrality 40-60%
pT    Inv. Yield   Stat. Err.   Sys. Err   
0.55  0.0380612    0.000646704  0.00342551 
0.65  0.0386693    0.00055906   0.00348024 
0.75  0.0350222    0.000471682  0.003152   
0.85  0.0282309    0.000358201  0.00254078 
0.95  0.0235513    0.000300537  0.00211962 
1.05  0.0180396    0.000225962  0.00162356 
1.15  0.0142879    0.000185338  0.00128591 
1.25  0.0107399    0.000141784  0.000966591
1.35  0.00811479   0.00011047   0.000730331
1.45  0.00621678   8.86097e-05  0.00055951 
1.55  0.00468355   6.90637e-05  0.000421519
1.65  0.00358728   5.50894e-05  0.000322855
1.75  0.00266101   4.3434e-05   0.000239491
1.85  0.00200558   3.48162e-05  0.000180502
1.95  0.00146437   2.71983e-05  0.000131793
2.1   0.00100927   1.48451e-05  9.08343e-05
2.3   0.000572474  9.95149e-06  5.15227e-05
2.5   0.000345619  7.23007e-06  3.11057e-05
2.7   0.000205949  5.12977e-06  1.85354e-05
2.9   0.000121393  3.70162e-06  1.09254e-05
3.25  5.81164e-05  1.53911e-06  6.3928e-06 
3.75  1.98318e-05  8.08029e-07  2.1815e-06 
4.25  8.28875e-06  5.33062e-07  9.11762e-07
4.75  3.24746e-06  3.30842e-07  3.57221e-07

Centrality 60-88%
pT    Inv. Yield   Stat. Err.   Sys. Err   
0.55  0.0202249    0.000351802  0.00182024 
0.65  0.019757     0.000292439  0.00177813 
0.75  0.0172779    0.00023896   0.00155501 
0.85  0.0135724    0.00017832   0.00122152 
0.95  0.0108446    0.0001439    0.000976014
1.05  0.00804752   0.000106206  0.000724277
1.15  0.00628887   8.67205e-05  0.000565998
1.25  0.00467407   6.67126e-05  0.000420666
1.35  0.00338434   5.06301e-05  0.000304591
1.45  0.00260129   4.13546e-05  0.000234116
1.55  0.00188036   3.16855e-05  0.000169232
1.65  0.0013898    2.49343e-05  0.000125082
1.75  0.0010517    2.04598e-05  9.4653e-05 
1.85  0.00076827   1.63386e-05  6.91443e-05
1.95  0.000576869  1.32489e-05  5.19182e-05
2.1   0.000383623  7.18282e-06  3.45261e-05
2.3   0.000216591  4.8875e-06   1.94932e-05
2.5   0.000128113  3.5651e-06   1.15302e-05
2.7   6.97948e-05  2.42349e-06  6.28153e-06
2.9   4.05312e-05  1.77047e-06  3.64781e-06
3.25  2.07273e-05  7.63822e-07  2.28e-06   
3.75  6.5945e-06   3.89323e-07  7.25395e-07
4.25  3.16632e-06  2.7531e-07   3.48295e-07
4.75  1.81718e-06  2.26653e-07  1.9989e-07 

