Centrality 00-10%
pT    Inv. Yield   Stat. Err    Sys. Err   
1.45  0.233873     0.00195387   0.0233873  
1.55  0.17769      0.00145953   0.017769   
1.65  0.139829     0.00115442   0.0139829  
1.75  0.107177     0.000879763  0.0107177  
1.85  0.0812356    0.000662804  0.00812356 
1.95  0.0629058    0.000515054  0.00629058 
2.1   0.0423984    0.000248157  0.00423984 
2.3   0.0238556    0.000139575  0.00238556 
2.5   0.013969     8.30239e-05  0.0013969  
2.7   0.00819403   4.98636e-05  0.000819403
2.9   0.00478965   3.03455e-05  0.000478965
3.25  0.0020519    9.35372e-06  0.000225709
3.75  0.000621061  3.55642e-06  6.83167e-05
4.25  0.000209597  1.7362e-06   2.30557e-05
4.75  8.11185e-05  1.05742e-06  8.92303e-06
5.25  3.4362e-05   1.3563e-06   4.81068e-06
5.75  1.71738e-05  1.0532e-06   2.40433e-06

Centrality 40-60%
pT    Inv. Yield   Stat. Err    Sys. Err   
0.55  0.366715     0.00547209   0.0366715  
0.65  0.369887     0.00465491   0.0369887  
0.75  0.34574      0.00405016   0.034574   
0.85  0.303021     0.00345475   0.0303021  
0.95  0.251657     0.00283297   0.0251657  
1.05  0.200826     0.00173772   0.0200826  
1.15  0.162232     0.00139743   0.0162232  
1.25  0.128089     0.00109666   0.0128089  
1.35  0.0994321    0.000846937  0.00994321 
1.45  0.0786288    0.00067541   0.00786288 
1.55  0.0588022    0.000498348  0.00588022 
1.65  0.0455883    0.000389296  0.00455883 
1.75  0.0346972    0.000295367  0.00346972 
1.85  0.025956     0.00022045   0.0025956  
1.95  0.019901     0.000170441  0.0019901  
2.1   0.0133369    8.23183e-05  0.00133369 
2.3   0.00747347   4.68232e-05  0.000747347
2.5   0.00440005   2.86903e-05  0.000440005
2.7   0.00257424   1.77523e-05  0.000257424
2.9   0.00153279   1.13967e-05  0.000153279
3.25  0.000669831  3.82479e-06  7.36814e-05
3.75  0.000210141  1.67854e-06  2.31155e-05
4.25  7.41411e-05  9.04561e-07  8.15552e-06
4.75  3.05755e-05  5.88024e-07  3.3633e-06 
5.25  1.23541e-05  7.45887e-07  1.72957e-06
5.75  6.44395e-06  6.01093e-07  9.02153e-07

Centrality 60-92%
pT    Inv. Yield   Stat. Err    Sys. Err   
0.55  0.0909796    0.00166294   0.00909796 
0.65  0.0906661    0.00138996   0.00906661 
0.75  0.0776869    0.00114584   0.00776869 
0.85  0.0631503    0.000930322  0.00631503 
0.95  0.049578     0.000748302  0.0049578  
1.05  0.0377939    0.00031683   0.00377939 
1.15  0.0293236    0.000246245  0.00293236 
1.25  0.0220149    0.000185323  0.00220149 
1.35  0.0165685    0.000139746  0.00165685 
1.45  0.0127345    0.000109624  0.00127345 
1.55  0.00931866   7.96986e-05  0.000931866
1.65  0.00701847   6.12674e-05  0.000701847
1.75  0.00521934   4.60976e-05  0.000521934
1.85  0.00384246   3.45648e-05  0.000384246
1.95  0.0029221    2.69808e-05  0.00029221 
2.1   0.00192862   1.33129e-05  0.000192862
2.3   0.00107949   8.07565e-06  0.000107949
2.5   0.000625502  5.24087e-06  6.25502e-05
2.7   0.000370395  3.55236e-06  3.70395e-05
2.9   0.000223515  2.49947e-06  2.23515e-05
3.25  9.75096e-05  9.27445e-07  1.07261e-05
3.75  3.22565e-05  4.71401e-07  3.54821e-06
4.25  1.20121e-05  2.75629e-07  1.32133e-06
4.75  4.83737e-06  1.80592e-07  5.32111e-07
5.25  2.53661e-06  2.6478e-07   3.55125e-07
5.75  1.38248e-06  2.1714e-07   1.93547e-07

